category,file,footprint_token,access_hint,placement_hint,description,components
04_Inns_Taverns_Lodging,GalakasMidCity_BT_Alehouse_Block_Long_W12D24_CSG.tscn,W12D24,main/front entry or generic frontage,"gate roads, tavern clusters, market edges, contract hubs","Large tavern/social block. Use it near market streets or contract hubs where MidCity should feel busy, loud, and commercially alive.",GalakasMidCity_FOUNDATION_W12D24_Stone_CSG; GalakasMidCity_LOWERMODULE_W12D24_InnFront_CSG; GalakasMidCity_UPPERMODULE_W12D24_InnUpper_CSG; GalakasMidCity_UPPERMODULE_W12D24_GalleryOverhang_CSG; GalakasMidCity_ROOF_W12D24_CrossGable_CSG
09_Backstreet_Alley_SideDoors,GalakasMidCity_BT_AlleyFacing_Apothecary_W04D12_CSG.tscn,W04D12,side/alley-oriented entry,"alleys, side streets, courtyard edges, back lanes","Narrow apothecary with alley-facing access. Good for side streets, hidden vendors, minor quest entrances, or quieter back lanes.",GalakasMidCity_FOUNDATION_W04D12_SideShopLeftStep_CSG; GalakasMidCity_LOWERMODULE_W04D12_SideShop_LeftDoor_CSG; GalakasMidCity_UPPERMODULE_W04D12_PlasterUpper_CSG; GalakasMidCity_ROOF_W04D12_SteepGable_CSG
09_Backstreet_Alley_SideDoors,GalakasMidCity_BT_AlleyFacing_Tailor_W05D16_CSG.tscn,W05D16,side/alley-oriented entry,"alleys, side streets, courtyard edges, back lanes",Longer tailor shop with an alley entry. Use beside clothes markets or in cramped commercial lanes where access should not always face the main road.,GalakasMidCity_FOUNDATION_W05D16_SideShopRightStep_CSG; GalakasMidCity_LOWERMODULE_W05D16_SideShop_RightDoor_CSG; GalakasMidCity_UPPERMODULE_W05D16_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W05D16_LongGable_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_Apothecary_RowEnd_W04D08_CSG.tscn,W04D08,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks","Small row-end shop-house. Works as a cap for compact street rows, especially when you want a low footprint vendor building.",GalakasMidCity_FOUNDATION_W04D08_Stone_CSG; GalakasMidCity_LOWERMODULE_W04D08_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W04D08_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W04D08_CrossGable_CSG
03_Markets_Commercial_Rows,GalakasMidCity_BT_ArcadedShop_Row_Long_W12D30_CSG.tscn,W12D30,main/front entry or generic frontage,"main market streets, plazas, commercial spines","Very long arcade-facing commercial row. Best for main market spines, covered vendor streets, and high foot-traffic merchant corridors.",GalakasMidCity_FOUNDATION_W12D30_Stone_CSG; GalakasMidCity_LOWERMODULE_W12D30_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W12D30_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W12D30_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W12D30_GalleryOverhang_CSG; GalakasMidCity_ROOF_W12D30_WalkableParapet_CSG
09_Backstreet_Alley_SideDoors,GalakasMidCity_BT_BacklaneDoor_Tenement_W06D28_CSG.tscn,W06D28,side/alley-oriented entry,"alleys, side streets, courtyard edges, back lanes",Long tenant block with backlane door emphasis. Useful for dense housing just behind richer commercial streets.,GalakasMidCity_FOUNDATION_W06D28_BacklaneLeftStep_CSG; GalakasMidCity_LOWERMODULE_W06D28_Backlane_LeftSingleDoor_CSG; GalakasMidCity_UPPERMODULE_W06D28_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D28_StoneUpper_CSG; GalakasMidCity_ROOF_W06D28_LongGable_CSG
05_Civic_Guild_Offices,GalakasMidCity_BT_BackstreetGuildOffice_W06D16_CSG.tscn,W06D16,main/front entry or generic frontage,"guild quarters, administrative streets, tax/records zones","Secondary guild office tucked off the main road. Use for minor guild bureaucracy, contract records, or less prestigious administrative streets.",GalakasMidCity_FOUNDATION_W06D16_BacklaneLeftStep_CSG; GalakasMidCity_LOWERMODULE_W06D16_Backlane_LeftSingleDoor_CSG; GalakasMidCity_UPPERMODULE_W06D16_StoneUpper_CSG; GalakasMidCity_UPPERMODULE_W06D16_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W06D16_SteepGable_CSG
04_Inns_Taverns_Lodging,GalakasMidCity_BT_BackstreetLodge_W06D12_CSG.tscn,W06D12,main/front entry or generic frontage,"gate roads, tavern clusters, market edges, contract hubs","Compact lodge/boarding house. Good for quieter lodging lanes, traveler housing, or lower-prestige inns away from the main market.",GalakasMidCity_FOUNDATION_W06D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W06D12_InnFront_CSG; GalakasMidCity_UPPERMODULE_W06D12_InnUpper_CSG; GalakasMidCity_ROOF_W06D12_SteepGable_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_Baker_ShopHouse_W05D10_CSG.tscn,W05D10,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks",Small bakery shop-house. Use to add ordinary daily-life commerce and break up weapon/mercenary-heavy streets.,GalakasMidCity_FOUNDATION_W05D10_Stone_CSG; GalakasMidCity_LOWERMODULE_W05D10_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W05D10_GalleryOverhang_CSG; GalakasMidCity_ROOF_W05D10_SteepGable_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_Bookseller_Stacked_W06D12_CSG.tscn,W06D12,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks","Tall stacked bookseller/record shop. Good near scribes, guild offices, schools, archives, or wealthier merchant streets.",GalakasMidCity_FOUNDATION_W06D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W06D12_PlasterShop_CSG; GalakasMidCity_UPPERMODULE_W06D12_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D12_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W06D12_HippedTile_CSG
11_Bridges_Overpasses_StreetConnectors,GalakasMidCity_BT_BridgeHouse_Linear_W18D10_CSG.tscn,W18D10,connector/passage-oriented,"special connectors, covered streets, bridge-house sequences","Long bridge-house mass. Use as a special linear block above or beside a passage, especially where roads compress beneath buildings.",GalakasMidCity_FOUNDATION_W18D10_Stone_CSG; GalakasMidCity_LOWERMODULE_W18D10_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W18D10_GalleryOverhang_CSG; GalakasMidCity_ROOF_W18D10_SteepGable_CSG
03_Markets_Commercial_Rows,GalakasMidCity_BT_ButchersRow_DeepMarket_W05D16_CSG.tscn,W05D16,main/front entry or generic frontage,"main market streets, plazas, commercial spines","Deep market row for butchers/food sellers. Works near markets, alleys with stronger working-class texture, and service lanes.",GalakasMidCity_FOUNDATION_W05D16_Stone_CSG; GalakasMidCity_LOWERMODULE_W05D16_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W05D16_GalleryOverhang_CSG; GalakasMidCity_ROOF_W05D16_LongGable_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_CanalHouse_ThinLong_W04D12_CSG.tscn,W04D12,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks","Thin long house suitable for water-channel, drainage, or narrow-lot streets. Good for old irregular parcels.",GalakasMidCity_FOUNDATION_W04D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W04D12_StoneBase_CSG; GalakasMidCity_UPPERMODULE_W04D12_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W04D12_GalleryOverhang_CSG; GalakasMidCity_ROOF_W04D12_LongGable_CSG
08_Courtyard_Wealthy_Blocks,GalakasMidCity_BT_Caravanserai_MidBlock_W12D20_CSG.tscn,W12D20,main/front entry or generic frontage,"cleaner inner MidCity, wealthy merchant streets, courtyard blocks","Large trade-yard block. Use as a merchant inn/storage compound where caravans, pack animals, and trade guards would gather.",GalakasMidCity_FOUNDATION_W12D20_Stone_CSG; GalakasMidCity_LOWERMODULE_W12D20_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W12D20_GalleryOverhang_CSG; GalakasMidCity_ROOF_W12D20_WalkableParapet_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_Chandler_Backlot_W05D10_CSG.tscn,W05D10,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks",Candle/utility shop with backlot feeling. Good for domestic-production streets and smaller craft clusters.,GalakasMidCity_FOUNDATION_W05D10_Stone_CSG; GalakasMidCity_LOWERMODULE_W05D10_WarehouseStone_CSG; GalakasMidCity_UPPERMODULE_W05D10_PlasterUpper_CSG; GalakasMidCity_ROOF_W05D10_LongGable_CSG
03_Markets_Commercial_Rows,GalakasMidCity_BT_ClothMarket_GrandLong_W10D30_CSG.tscn,W10D30,main/front entry or generic frontage,"main market streets, plazas, commercial spines",Large cloth-market hall/row. Use as a main commercial anchor for textile merchants and cleaner inner-MidCity commerce.,GalakasMidCity_FOUNDATION_W10D30_Stone_CSG; GalakasMidCity_LOWERMODULE_W10D30_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W10D30_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W10D30_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W10D30_WalkableParapet_CSG
